Complexity metrics,mar., 25 oct. 2022 00:22:40 EDT
Method,CogC,ev(G),iv(G),v(G)
org.jfree.chart.StackedAreaChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.StackedAreaChartTest.createChart(),0,1,1,1
org.jfree.chart.StackedAreaChartTest.setUp(),0,1,1,1
org.jfree.chart.StackedAreaChartTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.StackedAreaChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.StackedAreaChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.StackedAreaChartTest.testSetSeriesURLGenerator(),0,1,1,1
org.jfree.chart.StackedBarChartTest.LocalListener.chartChanged(ChartChangeEvent),0,1,1,1
org.jfree.chart.StackedBarChartTest.createChart(),0,1,1,1
org.jfree.chart.StackedBarChartTest.setUp(),0,1,1,1
org.jfree.chart.StackedBarChartTest.testDrawWithNullInfo(),1,1,2,2
org.jfree.chart.StackedBarChartTest.testReplaceDataset(),0,1,1,1
org.jfree.chart.StackedBarChartTest.testSetSeriesToolTipGenerator(),0,1,1,1
org.jfree.chart.StackedBarChartTest.testSetSeriesURLGenerator(),0,1,1,1
org.jfree.chart.StandardChartTheme.StandardChartTheme(String),0,1,1,1
"org.jfree.chart.StandardChartTheme.StandardChartTheme(String, boolean)",1,1,1,2
org.jfree.chart.StandardChartTheme.apply(JFreeChart),3,1,4,4
org.jfree.chart.StandardChartTheme.applyToAbstractRenderer(AbstractRenderer),2,1,3,3
org.jfree.chart.StandardChartTheme.applyToBlock(Block),2,1,3,3
org.jfree.chart.StandardChartTheme.applyToBlockContainer(BlockContainer),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToCategoryAxis(CategoryAxis),1,1,2,2
org.jfree.chart.StandardChartTheme.applyToCategoryItemRenderer(CategoryItemRenderer),4,1,5,5
org.jfree.chart.StandardChartTheme.applyToCategoryPlot(CategoryPlot),21,1,13,13
