Chidamber-Kemerer metrics,lun., 24 oct. 2022 22:54:29 EDT
Class,CBO,DIT,LCOM,NOC,RFC,WMC
org.jfree.chart.labels.StandardXYItemLabelGenerator,7,1,1,0,18,12
org.jfree.chart.labels.StandardXYItemLabelGeneratorTest,5,0,5,0,21,5
org.jfree.chart.labels.StandardXYSeriesLabelGenerator,10,0,1,0,10,10
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest,6,0,6,0,21,6
org.jfree.chart.labels.StandardXYToolTipGenerator,19,1,2,2,17,12
org.jfree.chart.labels.StandardXYToolTipGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.StandardXYZToolTipGenerator,9,2,1,0,24,18
org.jfree.chart.labels.StandardXYZToolTipGeneratorTest,4,0,5,0,17,5
org.jfree.chart.labels.SymbolicXYItemLabelGenerator,11,0,2,0,14,12
org.jfree.chart.labels.SymbolicXYItemLabelGeneratorTest,4,0,5,0,13,5
org.jfree.chart.labels.XYItemLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYSeriesLabelGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.labels.XYZToolTipGenerator,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendGraphic,16,1,1,0,69,77
org.jfree.chart.legend.LegendGraphicTest,6,0,5,0,33,5
org.jfree.chart.legend.LegendItem,62,0,24,0,73,87
org.jfree.chart.legend.LegendItemBlockContainer,10,2,2,0,21,11
org.jfree.chart.legend.LegendItemCollection,30,0,1,0,10,12
org.jfree.chart.legend.LegendItemSource,n/a,n/a,n/a,n/a,1,n/a
org.jfree.chart.legend.LegendRenderingOrder,0,n/a,2,n/a,2,0
org.jfree.chart.legend.LegendTitle,38,2,2,0,115,64
org.jfree.chart.legend.LegendTitleTest,9,0,4,0,22,4
org.jfree.chart.legend.PaintScaleLegend,25,2,1,0,78,70
org.jfree.chart.legend.PaintScaleLegendTest,8,0,4,0,27,4
org.jfree.chart.plot.CategoryCrosshairState,5,1,1,0,12,13
org.jfree.chart.plot.CategoryMarker,10,1,2,0,15,15
org.jfree.chart.plot.CategoryMarkerTest,6,0,4,0,24,6
org.jfree.chart.plot.CategoryPlot,112,1,13,2,361,597
org.jfree.chart.plot.CategoryPlotTest,40,0,27,0,174,37
org.jfree.chart.plot.CenterTextMode,2,n/a,2,n/a,2,0
org.jfree.chart.plot.CombinedDomainCategoryPlot,21,2,3,0,95,72
org.jfree.chart.plot.CombinedDomainCategoryPlotTest,16,0,2,0,39,9
org.jfree.chart.plot.CombinedDomainXYPlot,25,2,3,0,106,86
org.jfree.chart.plot.CombinedDomainXYPlotTest,16,0,3,0,45,10
org.jfree.chart.plot.CombinedRangeCategoryPlot,22,2,2,0,84,62
org.jfree.chart.plot.CombinedRangeCategoryPlotTest,15,0,2,0,37,9
